name,num_total_running_mean,num_total_running_std,num_total_running_max,num_total_running_min,num_total_sleeping_mean,num_total_sleeping_std,num_total_sleeping_max,num_total_sleeping_min,num_total_zombie_mean,num_total_zombie_std,num_total_zombie_max,num_total_zombie_min,num_total_stopped_mean,num_total_stopped_std,num_total_stopped_max,num_total_stopped_min,cpu_%_us_mean,cpu_%_us_std,cpu_%_us_max,cpu_%_us_min,cpu_%_sy_mean,cpu_%_sy_std,cpu_%_sy_max,cpu_%_sy_min,cpu_%_ni_mean,cpu_%_ni_std,cpu_%_ni_max,cpu_%_ni_min,cpu_%_id_mean,cpu_%_id_std,cpu_%_id_max,cpu_%_id_min,cpu_%_wa_mean,cpu_%_wa_std,cpu_%_wa_max,cpu_%_wa_min,cpu_%_hi_mean,cpu_%_hi_std,cpu_%_hi_max,cpu_%_hi_min,cpu_%_si_mean,cpu_%_si_std,cpu_%_si_max,cpu_%_si_min,cpu_%_st_mean,cpu_%_st_std,cpu_%_st_max,cpu_%_st_min,mem_total_mean,mem_total_std,mem_total_max,mem_total_min,mem_used_mean,mem_used_std,mem_used_max,mem_used_min,mem_free_mean,mem_free_std,mem_free_max,mem_free_min,mem_buffers_mean,mem_buffers_std,mem_buffers_max,mem_buffers_min,swap_total_mean,swap_total_std,swap_total_max,swap_total_min,swap_used_mean,swap_used_std,swap_used_max,swap_used_min,swap_free_mean,swap_free_std,swap_free_max,swap_free_min,swap_cache_mean,swap_cache_std,swap_cache_max,swap_cache_min,label
ca90ad8fefe28c724c2736984d6e95ec_1590180585,2.5,1.5,4.0,1.0,56.5,0.5,57.0,56.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.65,0.14999999999999858,59.8,59.5,38.05,0.15000000000000213,38.2,37.9,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,1.1,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,55804.0,1720.0,57524.0,54084.0,66048.0,1720.0,67768.0,64328.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34538.0,54.0,34592.0,34484.0,1
017662f941ebe50c7e0d3fd9a826144a_1589905104,2.5,1.5,4.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0.09999999999999788,59.3,59.1,38.4,0.10000000000000142,38.5,38.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,1.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,52850.0,370.0,53220.0,52480.0,69002.0,370.0,69372.0,68632.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,35462.0,46.0,35508.0,35416.0,1
9a983419ddc7ab33507b41e3685f33bf_1590173095,3.0,2.160246899469287,6.0,1.0,56.666666666666664,0.9428090415820634,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06666666666666,0.20548046676563278,59.3,58.8,38.76666666666667,0.16996731711975865,39.0,38.6,0.0,0.0,0.0,0.0,0.9333333333333332,0.04714045207910316,1.0,0.9,0.10000000000000002,1.3877787807814457e-17,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,53802.666666666664,1748.0696655326858,56264.0,52372.0,68049.33333333333,1748.0696655326856,69480.0,65588.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,35484.0,51.01633725255731,35524.0,35412.0,1
888ccce705a9450caef48e6cf7901781_1590141182,3.0,2.0,5.0,1.0,50.0,0.0,50.0,50.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.2,0.09999999999999788,59.3,59.1,35.650000000000006,0.05000000000000071,35.7,35.6,0.0,0.0,0.0,0.0,3.95,0.050000000000000044,4.0,3.9,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,67544.0,1868.0,69412.0,65676.0,58244.0,1868.0,60112.0,56376.0,7636.0,0.0,7636.0,7636.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,30170.0,54.0,30224.0,30116.0,1
740cea9b9bdbb761c49270e72f4b77db_1589981287,2.533333333333333,1.203698005684519,5.0,1.0,52.93333333333333,1.236482466066094,54.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96000000000001,0.5462600113499071,60.7,59.0,35.099999999999994,0.4066120181860501,35.8,34.5,0.0,0.0,0.0,0.0,3.8200000000000003,0.12220201853215568,4.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0466666666666666,0.049888765156985926,1.1,1.0,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,64050.13333333333,1108.2871990398319,66016.0,62268.0,61737.86666666667,1108.2871990398319,63520.0,59772.0,7639.2,4.888080741286228,7644.0,7628.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,30118.933333333334,38.10068532483664,30220.0,30104.0,1
ade13c6d0182c53febc9b8486296e483_1590143440,3.0,2.0,5.0,1.0,51.5,1.5,53.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,0.10000000000000142,59.5,59.3,35.4,0.10000000000000142,35.5,35.3,0.0,0.0,0.0,0.0,4.1,0.0,4.1,4.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,73034.0,1890.0,74924.0,71144.0,52754.0,1890.0,54644.0,50864.0,7604.0,0.0,7604.0,7604.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,24964.0,56.0,25020.0,24908.0,1
e4c17224fd574e62ad0e8ae2a8306a26_1590216459,3.5,0.5,4.0,3.0,56.0,1.0,57.0,55.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.75,0.14999999999999858,59.9,59.6,37.9,0.10000000000000142,38.0,37.8,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,53270.0,394.0,53664.0,52876.0,68546.0,394.0,68940.0,68152.0,7956.0,0.0,7956.0,7956.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34692.0,60.0,34752.0,34632.0,1
c5ce05ebee11ea7c06dc3e4bdd853931_1590172542,2.0,1.0,3.0,1.0,50.5,0.5,51.0,50.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.05,0.05000000000000071,59.1,59.0,35.95,0.05000000000000071,36.0,35.9,0.0,0.0,0.0,0.0,3.95,0.050000000000000044,4.0,3.9,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,66656.0,1836.0,68492.0,64820.0,59132.0,1836.0,60968.0,57296.0,7632.0,4.0,7636.0,7628.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,31114.0,58.0,31172.0,31056.0,1
bf07a7a21d7ffa99bb8ab4035db5cdf6_1590162833,2.0,1.0,3.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7,0.09999999999999788,59.8,59.6,38.0,0.10000000000000142,38.1,37.9,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,1.1,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.15,0.04999999999999993,1.2,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,55678.0,1702.0,57380.0,53976.0,66174.0,1702.0,67876.0,64472.0,7700.0,4.0,7704.0,7696.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34756.0,68.0,34824.0,34688.0,1
a553e97d88f7b7934276856f1a528716_1590132757,2.5,0.5,3.0,2.0,56.0,1.0,57.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7,0.09999999999999788,59.8,59.6,37.85,0.14999999999999858,38.0,37.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,55376.0,1744.0,57120.0,53632.0,66440.0,1744.0,68184.0,64696.0,7952.0,4.0,7956.0,7948.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34686.0,62.0,34748.0,34624.0,1
