Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts,Label
87,147851697,87169991,2582,2002,98,16,36490.0,30875.0,4558.0,275.0,143635593.0,87169991.0,52086147.0,52086147.0,0,0,0,0,0,0,0,0,21152,16016,1212,520,2,1,5,2,3,1,14,14,36,31,0,0,0,0,0,0,62050,14600,509,509,2476,2001,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,11173508608,85169673,9009,6292,56,16,7569.0,6292.0,1854.0,275.0,11167954470.0,85169673.0,56047363.0,56047363.0,0,0,0,0,0,0,0,0,150140,50336,984,520,1,1,2672,8,12,1,14,14,43,31,0,0,0,0,0,0,17905646,56941,510,510,6292,6291,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,14148976427,76930450,6654,1320,251,20,55163.0,47000.0,10298.0,275.0,14109331440.0,76930450.0,75787817.0,48380442.0,0,0,0,0,2,1,0,0,206256,10560,3644,648,13,2,4766,5,73,1,23,18,148,39,4,2,4,2,4,2,15114788,36119,59416,29200,1703,1319,0
4363,35801503401,75166071,18123,1221,520,18,14437.0,1221.0,23589.0,275.0,35630898039.0,75166071.0,327073401.0,50203405.0,0,0,0,0,0,0,0,0,671020,9768,8312,584,111,2,16347,5,111,1,98,16,469,35,0,0,0,0,0,0,58771500,14600,237473,29200,1258,1220,0
3502,23013860126,50316442,14136,1341,604,18,38603.0,23775.0,26313.0,275.0,22908827683.0,49010158.0,367592809.0,50314926.0,0,0,0,0,0,0,0,0,498608,10728,10312,584,78,2,11924,5,147,2,152,16,579,35,0,0,0,0,0,0,46420741,14600,218930,64000,1706,1340,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,2241769439,117424139,3610,891,139,18,22680.0,17250.0,5999.0,275.0,2236945234.0,117424139.0,50174679.0,50174679.0,0,0,0,0,0,0,0,0,100064,7128,1792,584,2,1,2248,6,20,1,16,16,57,35,0,0,0,0,0,0,13475950,46545,509,509,1237,890,0
103,24518453,542429,121,4,102,1,3896.0,974.0,0.0,0.0,1429002.0,542429.0,0.0,0.0,0,0,0,0,0,0,0,0,2540,100,2120,32,5,1,110,2,100,2,4,1,116,4,0,0,0,0,0,0,5979595,62021,114688,16384,4,1,0
215,241496358,116506324,1612,1122,227,18,21143.0,12400.0,9493.0,275.0,236996805.0,116506324.0,50167409.0,50167409.0,0,0,0,0,0,0,0,0,14576,8976,2676,584,1,1,43,6,35,1,16,16,70,35,0,0,0,0,0,0,540200,14600,509,509,1371,1121,0
117,196670347,94808142,4569,2551,100,15,958063.0,949760.0,3204.0,154.0,193599188.0,94808142.0,43054769.0,43054769.0,0,0,0,0,0,0,0,0,17552,14840,1372,488,2,1,31,2,17,1,13,13,58,29,0,0,0,0,0,0,281050,14600,510,510,1882,1854,0
1225,14932252299,99526369,7541,2002,245,21,30253.0,19650.0,16306.0,310.0,14853207552.0,99526369.0,81030612.0,47081439.0,30,1,0,0,30,1,0,0,216824,16016,3028,680,78,2,4899,6,88,2,81,19,119,41,60,2,60,2,0,0,15738448,36236,75940,32120,2405,2001,0
