Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts
2,2065,1780,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1950,1576,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22824,12427,12,1,12,1,540,46,540,46,0,0,0,0,0,0,0,0,0,0,0,0,96,8,96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20276,1793,26,1,26,1,1170,46,1170,46,0,0,0,0,0,0,0,0,0,0,0,0,208,8,208,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1760,1398,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2341476,1310457,6,2,2,1,182,92,90,46,2340186,1310457,0,0,0,0,0,0,0,0,0,0,32,16,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,9751,9026,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1651,1422,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1768,1472,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2173,1888,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32610,32027,2,1,2,1,90,46,139,95,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2332,2008,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1876,1716,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1536,1384,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2071,1685,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1731,1508,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1900,1586,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4634,3322,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2785,1506,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3049,2299,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1837,1508,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2327,1966,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6763,4997,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1934,1633,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,945,604,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,840,609,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15718,10579,2,1,2,1,90,46,90,46,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14833,14100,2,1,2,1,90,46,139,95,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
