,ensemble,net,per,sys,vote,logistic reg
0,SVM + SVM + SVM,91.91,97.88,98.72,98.60,98.83
1,SVM + SVM + k-NN,91.91,97.88,98.66,98.66,98.77
2,SVM + SVM + DecisionTree,91.91,97.88,96.43,98.05,96.43
3,SVM + SVM + RandomForest,91.91,97.88,98.27,98.44,98.55
4,SVM + k-NN + SVM,91.91,98.44,98.72,98.83,98.49
5,SVM + k-NN + k-NN,91.91,98.44,98.66,99.00,98.83
6,SVM + k-NN + DecisionTree,91.91,98.44,96.43,98.05,97.32
7,SVM + k-NN + RandomForest,91.91,98.44,98.27,98.77,98.66
8,SVM + DecisionTree + SVM,91.91,98.33,98.72,98.83,98.33
9,SVM + DecisionTree + k-NN,91.91,98.33,98.66,99.05,98.72
10,SVM + DecisionTree + DecisionTree,91.91,98.33,96.43,98.21,97.38
11,SVM + DecisionTree + RandomForest,91.91,98.33,98.27,98.83,98.88
12,SVM + RandomForest + SVM,91.91,99.00,98.72,98.94,98.66
13,SVM + RandomForest + k-NN,91.91,99.00,98.66,99.00,98.88
14,SVM + RandomForest + DecisionTree,91.91,99.00,96.43,98.10,97.38
15,SVM + RandomForest + RandomForest,91.91,99.00,98.27,98.88,98.77
16,k-NN + SVM + SVM,92.30,97.88,98.72,98.66,98.88
17,k-NN + SVM + k-NN,92.30,97.88,98.66,98.60,98.83
18,k-NN + SVM + DecisionTree,92.30,97.88,96.43,98.05,96.43
19,k-NN + SVM + RandomForest,92.30,97.88,98.27,98.55,98.60
20,k-NN + k-NN + SVM,92.30,98.44,98.72,98.88,98.49
21,k-NN + k-NN + k-NN,92.30,98.44,98.66,99.00,98.83
22,k-NN + k-NN + DecisionTree,92.30,98.44,96.43,98.16,97.38
23,k-NN + k-NN + RandomForest,92.30,98.44,98.27,98.94,98.66
24,k-NN + DecisionTree + SVM,92.30,98.33,98.72,98.94,98.33
25,k-NN + DecisionTree + k-NN,92.30,98.33,98.66,99.05,98.72
26,k-NN + DecisionTree + DecisionTree,92.30,98.33,96.43,98.38,97.43
27,k-NN + DecisionTree + RandomForest,92.30,98.33,98.27,98.94,98.88
28,k-NN + RandomForest + SVM,92.30,99.00,98.72,98.94,98.66
29,k-NN + RandomForest + k-NN,92.30,99.00,98.66,99.00,98.88
30,k-NN + RandomForest + DecisionTree,92.30,99.00,96.43,98.27,97.43
31,k-NN + RandomForest + RandomForest,92.30,99.00,98.27,99.00,98.83
32,DecisionTree + SVM + SVM,92.30,97.88,98.72,98.66,98.88
33,DecisionTree + SVM + k-NN,92.30,97.88,98.66,98.66,98.77
34,DecisionTree + SVM + DecisionTree,92.30,97.88,96.43,98.05,96.43
35,DecisionTree + SVM + RandomForest,92.30,97.88,98.27,98.60,98.66
36,DecisionTree + k-NN + SVM,92.30,98.44,98.72,98.94,98.49
37,DecisionTree + k-NN + k-NN,92.30,98.44,98.66,99.00,98.83
38,DecisionTree + k-NN + DecisionTree,92.30,98.44,96.43,98.16,97.38
39,DecisionTree + k-NN + RandomForest,92.30,98.44,98.27,98.88,98.66
40,DecisionTree + DecisionTree + SVM,92.30,98.33,98.72,98.94,98.33
41,DecisionTree + DecisionTree + k-NN,92.30,98.33,98.66,99.05,98.72
42,DecisionTree + DecisionTree + DecisionTree,92.30,98.33,96.43,98.38,97.43
43,DecisionTree + DecisionTree + RandomForest,92.30,98.33,98.27,99.00,98.88
44,DecisionTree + RandomForest + SVM,92.30,99.00,98.72,98.88,98.66
45,DecisionTree + RandomForest + k-NN,92.30,99.00,98.66,99.00,98.88
46,DecisionTree + RandomForest + DecisionTree,92.30,99.00,96.43,98.27,97.43
47,DecisionTree + RandomForest + RandomForest,92.30,99.00,98.27,99.00,98.83
48,RandomForest + SVM + SVM,91.63,97.88,98.72,98.66,98.88
49,RandomForest + SVM + k-NN,91.63,97.88,98.66,98.72,98.77
50,RandomForest + SVM + DecisionTree,91.63,97.88,96.43,98.05,96.43
51,RandomForest + SVM + RandomForest,91.63,97.88,98.27,98.60,98.66
52,RandomForest + k-NN + SVM,91.63,98.44,98.72,98.94,98.49
53,RandomForest + k-NN + k-NN,91.63,98.44,98.66,99.00,98.83
54,RandomForest + k-NN + DecisionTree,91.63,98.44,96.43,98.16,97.38
55,RandomForest + k-NN + RandomForest,91.63,98.44,98.27,98.88,98.66
56,RandomForest + DecisionTree + SVM,91.63,98.33,98.72,98.94,98.33
57,RandomForest + DecisionTree + k-NN,91.63,98.33,98.66,99.05,98.72
58,RandomForest + DecisionTree + DecisionTree,91.63,98.33,96.43,98.38,97.43
59,RandomForest + DecisionTree + RandomForest,91.63,98.33,98.27,99.00,98.88
60,RandomForest + RandomForest + SVM,91.63,99.00,98.72,98.88,98.66
61,RandomForest + RandomForest + k-NN,91.63,99.00,98.66,99.00,98.88
62,RandomForest + RandomForest + DecisionTree,91.63,99.00,96.43,98.27,97.43
63,RandomForest + RandomForest + RandomForest,91.63,99.00,98.27,99.00,98.83
